Object,X1,Y1,X2,Y2,Confidence
car,413,448,467,517,0.7278098464012146
car,225,640,324,715,0.5462890863418579
car,410,452,467,522,0.665652334690094
car,436,325,474,383,0.6096471548080444
car,219,645,322,717,0.6089497804641724
car,408,455,465,525,0.6750237941741943
car,435,326,474,384,0.5972000956535339
car,217,651,322,718,0.5646968483924866
car,433,328,473,387,0.6598496437072754
car,408,457,463,527,0.6124794483184814
car,406,462,462,534,0.7190901637077332
car,405,464,462,536,0.7216137051582336
car,433,328,473,391,0.5209257006645203
car,404,467,462,541,0.7507399916648865
car,403,471,462,545,0.7556783556938171
car,403,472,461,548,0.8571138978004456
car,402,476,461,551,0.867384135723114
car,1,73,163,163,0.9105234742164612
person,192,13,289,177,0.902155876159668
car,1,73,163,163,0.9105234742164612
person,192,13,289,177,0.902155876159668
car,1,73,163,163,0.9105234742164612
person,192,13,289,177,0.902155876159668
car,1,73,163,163,0.9105234742164612
person,192,13,289,177,0.902155876159668
dog,155,32,235,156,0.48388415575027466
horse,155,32,237,157,0.30706554651260376
car,1,73,163,163,0.9105234742164612
person,192,13,289,177,0.902155876159668
dog,155,32,235,156,0.48388415575027466
horse,155,32,237,157,0.30706554651260376
car,1,73,163,163,0.9105234742164612
person,192,13,289,177,0.902155876159668
dog,155,32,235,156,0.48388415575027466
horse,155,32,237,157,0.30706554651260376
car,1,73,163,163,0.9105234742164612
person,192,13,289,177,0.902155876159668
dog,155,32,235,156,0.48388415575027466
horse,155,32,237,157,0.30706554651260376
person,29,8,91,158,0.8847529292106628
person,175,73,251,178,0.8573682904243469
car,66,6,319,176,0.6596695780754089
car,1642,678,1849,789,0.8241479396820068
car,1427,638,1574,729,0.7960092425346375
car,0,793,192,987,0.7771139144897461
car,1534,864,1827,1058,0.7726030349731445
car,330,556,450,654,0.754431426525116
car,405,433,498,502,0.7369288206100464
car,555,500,638,574,0.6558812260627747
car,1145,393,1195,428,0.5927241444587708
car,1234,581,1339,661,0.546691358089447
car,529,370,582,412,0.5144762992858887
car,1206,442,1264,485,0.5054092407226562
car,1299,522,1352,586,0.47570398449897766
car,636,336,680,383,0.47570356726646423
car,1297,591,1340,660,0.41253662109375
car,1061,386,1109,421,0.4049168825149536
motorcycle,361,763,417,885,0.3431514799594879
car,0,811,177,1013,0.8186922073364258
car,553,504,636,578,0.791866660118103
car,1515,852,1799,1036,0.7883248329162598
car,1632,675,1830,781,0.7694095373153687
car,1417,630,1563,726,0.7521162033081055
car,324,560,446,660,0.7292637825012207
car,399,436,492,504,0.6301640868186951
car,524,374,579,414,0.5335792899131775
car,1141,395,1193,427,0.53199702501297
car,1203,440,1261,482,0.49881744384765625
car,1299,520,1347,583,0.45778265595436096
car,1227,579,1336,657,0.4493456780910492
motorcycle,348,779,407,905,0.43595781922340393
car,1295,580,1336,650,0.4244662821292877
motorcycle,352,822,403,906,0.4030729830265045
car,0,712,51,837,0.39251554012298584
